FECHA_LOCAL,ROUTE_OWN,VUELO,ORIGEN,DESTINO,TIPO_FLT1,TIPO_OPS,FLOTA,TIPO DE FLOTA,DEMORA_DEP,DEMORA_ARR,CIUDAD DESTINO,FECHA
2022-01-01,AV,8409,BOG,CLO,PAX,Domestico,A320,NB,-5,-11,CALI,2022-01-01
2022-01-01,TA,366,BOG,SAL,PAX,Internacional,A320,NB,65,52,SAN SALVADOR,2022-01-01
2022-01-01,EX,4859,BOG,NVA,PAX,Domestico,AT72,Turbo,-2,-9,NEIVA,2022-01-01
2022-01-01,AV,9536,BOG,BAQ,PAX,Domestico,A320,NB,0,-7,BARRANQUILLA,2022-01-01
2022-01-01,AV,9358,BOG,MDE,CANCEL,Domestico,A320,NB,0,0,MEDELLIN,2022-01-01
2022-01-01,AV,9805,BOG,PEI,CANCEL,Domestico,,,0,0,PEREIRA,2022-01-01
2022-01-01,EX,4850,BOG,MZL,PAX,Domestico,AT72,Turbo,-7,-14,MANIZALES,2022-01-01
2022-01-01,AV,9540,BOG,CTG,PAX,Domestico,A320,NB,-4,-16,CARTAGENA,2022-01-01
2022-01-01,AV,8596,BOG,VUP,PAX,Domestico,A320,NB,-2,-8,VALLEDUPAR,2022-01-01
2022-01-01,EX,4891,BOG,VVC,PAX,Domestico,AT72,Turbo,-1,-13,VILLAVICENCIO,2022-01-01
2022-01-01,AV,8450,BOG,MDE,PAX,Domestico,A320,NB,1,-10,MEDELLIN,2022-01-01
2022-01-01,AV,8583,BOG,PSO,PAX,Domestico,A320,NB,-3,-11,PASTO,2022-01-01
2022-01-01,AV,9545,BOG,CLO,PAX,Domestico,A320,NB,-1,-15,CALI,2022-01-01
2022-01-01,AV,9460,BOG,BGA,PAX,Domestico,A320,NB,2,-6,BUCARAMANGA,2022-01-01
2022-01-01,AV,9320,BOG,CUC,PAX,Domestico,A320,NB,-2,-9,CUCUTA,2022-01-01
2022-01-01,AV,8484,BOG,SMR,PAX,Domestico,A320,NB,-1,-7,SANTA MARTA,2022-01-01
2022-01-01,AV,210,BOG,JFK,PAX,Internacional,A320,NB,-2,-2,NEW YORK,2022-01-01
2022-01-01,2K,8385,BOG,GYE,PAX,Internacional,A320,NB,3,-17,GUAYAQUIL,2022-01-01
2022-01-01,AV,51,BOG,UIO,PAX,Internacional,A320,NB,-1,-4,QUITO,2022-01-01
2022-01-01,AV,128,BOG,PUJ,PAX,Internacional,A319,NB,0,-11,PUNTA CANA,2022-01-01
2022-01-01,AV,8407,BOG,PEI,PAX,Domestico,A320,NB,8,1,PEREIRA,2022-01-01
2022-01-01,2K,8378,BOG,AUA,PAX,Internacional,A320,NB,-1,-4,ARUBA,2022-01-01
2022-01-01,AV,78,BOG,CUR,PAX,Internacional,A319,NB,2,-15,CURACAO,2022-01-01
2022-01-01,AV,256,BOG,BOG,AIRTURN,Internacional,A320,NB,-1,-159,BOGOTA,2022-01-01
2022-01-01,AV,8462,BOG,BAQ,PAX,Domestico,A320,NB,-3,-17,BARRANQUILLA,2022-01-01
2022-01-01,AV,8556,BOG,CTG,PAX,Domestico,A320,NB,-1,-7,CARTAGENA,2022-01-01
2022-01-01,AV,9794,BOG,MTR,PAX,Domestico,A320,NB,4,1,MONTERIA,2022-01-01
2022-01-01,AV,9257,BOG,MDE,PAX,Domestico,A320,NB,-3,-20,MEDELLIN,2022-01-01
2022-01-01,AV,9710,BOG,BGA,PAX,Domestico,A320,NB,-7,-15,BUCARAMANGA,2022-01-01
2022-01-01,AV,28,BOG,MCO,PAX,Internacional,A320,NB,-1,-8,ORLANDO,2022-01-01
2022-01-01,AV,6,BOG,MIA,PAX,Internacional,B788,WB,-1,-15,MIAMI,2022-01-01
2022-01-01,AV,36,BOG,FLL,PAX,Internacional,A320,NB,-1,2,FORT LAUDERDALE,2022-01-01
2022-01-01,EX,4893,BOG,EYP,PAX,Domestico,A320,NB,-13,-21,EL YOPAL,2022-01-01
2022-01-01,AV,72,BOG,MEX,PAX,Internacional,B788,WB,-8,-22,MEXICO CITY,2022-01-01
2022-01-01,AV,194,BOG,SJO,PAX,Internacional,A320,NB,25,14,SAN JOSE,2022-01-01
2022-01-01,AV,9304,BOG,MDE,PAX,Domestico,A320,NB,-6,-18,MEDELLIN,2022-01-01
2022-01-01,AV,8560,BOG,ADZ,PAX,Domestico,A320,NB,-5,-17,SAN ANDRES ISLAND,2022-01-01
2022-01-01,AV,9542,BOG,CTG,PAX,Domestico,A320,NB,8,2,CARTAGENA,2022-01-01
2022-01-01,EX,4829,BOG,CZU,PAX,Domestico,AT72,Turbo,-2,-7,COROZAL,2022-01-01
2022-01-01,AV,9714,BOG,SMR,PAX,Domestico,A320,NB,-7,-12,SANTA MARTA,2022-01-01
2022-01-01,EX,4845,BOG,IBE,PAX,Domestico,A320,NB,0,1,IBAGUE,2022-01-01
2022-01-01,AV,8574,BOG,BAQ,PAX,Domestico,A320,NB,11,0,BARRANQUILLA,2022-01-01
2022-01-01,AV,9486,BOG,LET,PAX,Domestico,A320,NB,-8,-27,LETICIA,2022-01-01
2022-01-01,AV,8465,BOG,CLO,CANCEL,Domestico,,,0,0,CALI,2022-01-01
2022-01-01,AV,9724,BOG,CUC,PAX,Domestico,A320,NB,-5,-11,CUCUTA,2022-01-01
2022-01-01,EX,4807,BOG,FLA,PAX,Domestico,AT72,Turbo,-6,-12,FLORENCIA,2022-01-01
2022-01-01,AV,8511,BOG,PEI,PAX,Domestico,A320,NB,-2,-5,PEREIRA,2022-01-01
2022-01-01,AV,9308,BOG,MDE,PAX,Domestico,A320,NB,-2,-5,MEDELLIN,2022-01-01
2022-01-01,AV,9401,BOG,PSO,PAX,Domestico,A319,NB,8,0,PASTO,2022-01-01
2022-01-01,EX,4879,BOG,PPN,PAX,Domestico,AT72,Turbo,-3,-13,POPAYAN,2022-01-01
2022-01-01,AV,256,BOG,CUN,PAX,Internacional,A320,NB,155,148,CANCUN,2022-01-01
